CurCode;CurName;CurNameBel;CurNameEng
008;Албанский лек;Албанскі лек;Albanian Lek
012;Алжирский динар;Алжырскі дынар;Algerian Dinar
032;Аргентинское песо;Аргенцінскае песа;Argentine Peso
100;Болгарский лев;Балгарскі леў;Bulgarian Lev
040;Австрийский шиллинг;Аўстрыйскі шылінг;Austrian Schilling
056;Бельгийский франк;Бельгійскі франк;Belgian Franc
978;Евро;Еўра;EURO
124;Канадский доллар;Канадскі долар;Canadian Dollar
144;Шри-Ланкийская рупия;Шры-Ланкійская рупія;Sri Lanka Rupee
152;Чилийское песо;Чылійскае песа ;Chilean Peso
156;Китайский юань;Кітайскі юань;Yuan China
170;Колумбийское песо;Калумбійскае песа;Columbian Peso
196;Кипрский фунт;Кіпрскі фунт;Cyprus Pound
208;Датская крона;Дацкая крона;Danish Krone
230;Эфиопский быр;Эфіопскі быр;Ethiopian Birr
246;Финляндская марка;Фінляндская марка;Markka
250;Французский франк;Французскі франк;French Franc
268;Грузинский лари;Грузінскі лары;Georgian Lari
300;Греческая драхма;Грэчаская драхма;Drachma
344;Гонконгский доллар;Ганконгскі долар;Hong Kong Dollar
352;Исландская крона;Ісландская крона;Iceland Krona
356;Индийская рупия;Індыйская рупія;Indian Rupee
364;Иранский риал;Іранскі рыал;Iranian Rial
368;Иракcкий динар;Іракскі дынар;Iraqi Dinar
372;Ирландский фунт;Ірландскі фунт;Irish Pound
376;Новый израильский шекель;Новы ізраільскі шэкель;Shekel
380;Итальянская лира;Італьянская ліра;Italian Lira
392;Иена;Іена;Yen
400;Иорданский динар;Іарданскі дынар;Jordanian Dinar
404;Кенийский шиллинг;Кенійскі шылінг;Kenyan Shilling
410;Южнокорейская вона;Паўднёвакарэйская вона;Won
414;Кувейтский динар;Кувейцкі дынар;Kuwaiti Dinar
418;Лаосcкий кип;Лаоскі кіп;Kip
422;Ливанский фунт;Ліванскі фунт;Lebanese Pound
434;Ливийcкий динар;Лівійскі дынар;Libyan Dinar
442;Люксембургский франк;Люксембургскі франк;Luxembourg Franc
484;Мексиканское новое песо;Мексіканскае новае песа;Mexican Nuevo Peso
496;Монгольский тугрик;Мангольскі тугрык;Tugrik
504;Марокканский дирхам;Мараканскі дырхам;Moroccan Diram
524;Непальcкая рупия;Непальская рупія;Nepalese Rupee
528;Нидерландский гульден;Нідэрландскі гульдэн;Netherlands Guilder
554;Новозеландский доллар;Новазеландскі долар;New Zealand Dollar
566;Нигерийская найра;Нігерыйская найра;Naira
